Date, Close/Last, Volume, Open, High, Low
10/22/2019, $337, 7972185, $336.07, $341.48, $334.46
10/21/2019, $331.06, 15538450, $332.89, $334.24, $324.4
10/18/2019, $344, 13568420, $369, $369.35, $344
10/17/2019, $369.06, 2402691, $372.42, $373.8, $369.06
10/16/2019, $372.43, 3683227, $370.22, $377.42, $369.24
10/15/2019, $370.96, 2861420, $372.58, $373.5268, $370.53
10/14/2019, $373.18, 2138932, $374.25, $378.7, $372.68
10/11/2019, $374.92, 3973451, $373, $376.94, $370.08
10/10/2019, $371, 2760659, $373.7, $374.54, $370.33
10/09/2019, $374.96, 2794769, $376, $377.86, $373.5
10/08/2019, $374.1, 4051648, $371.05, $377.34, $368.64
10/07/2019, $376.54, 1953195, $374.06, $378.15, $373.06
10/04/2019, $375.7, 2013254, $372.25, $376.13, $371.72
10/03/2019, $372.07, 2719561, $366.21, $372.25, $363.23
10/02/2019, $367.36, 3736441, $371.85, $372.99, $363.7702
10/01/2019, $374.94, 2953276, $381.7, $382.85, $374.63
09/30/2019, $380.47, 3211818, $383, $383.77, $376.69
09/27/2019, $382.86, 2732148, $388.19, $389.69, $381.306
09/26/2019, $386.89, 2535350, $387.1, $388.23, $383.325
09/25/2019, $386.2, 4782395, $384.91, $391, $383.1
09/24/2019, $381.65, 3594472, $379.54, $381.89, $375.31
09/23/2019, $377.03, 3061873, $376.61, $380.1022, $374.42
09/20/2019, $379.39, 6853019, $384.11, $384.73, $377.9201
09/19/2019, $384.44, 3026629, $386.14, $388.52, $382.9035
09/18/2019, $386.41, 4241370, $383.25, $386.74, $379.8
09/17/2019, $384.2, 3299033, $378.41, $385.3065, $377.8
09/16/2019, $378.85, 3055451, $378.14, $381.6331, $375
09/13/2019, $379.76, 3628926, $377.39, $381.75, $377.05
09/12/2019, $375.63, 4495290, $383.71, $384, $374.31
09/11/2019, $382.94, 8437022, $368.74, $383.5, $368
09/10/2019, $369.49, 4547237, $359, $369.49, $358.55
09/09/2019, $358.78, 4183288, $357.98, $360.93, $354.73
09/06/2019, $363, 3022591, $361.61, $364.91, $359.12
09/05/2019, $360.3, 3646077, $360.14, $364.71, $359.13
09/04/2019, $356.53, 2752789, $357.68, $358.0316, $354.43
09/03/2019, $354.42, 4273831, $354.11, $355.32, $350.605
08/30/2019, $364.09, 3147903, $364.37, $366.37, $362.4
08/29/2019, $362.74, 2718316, $363.85, $366.04, $360.17
08/28/2019, $359.97, 2409302, $353.31, $360.19, $351.18
08/27/2019, $354.73, 3742125, $359.42, $361.3093, $353.62
08/26/2019, $359.04, 4665447, $365.04, $367.34, $356.89
08/23/2019, $356.01, 11527790, $355.35, $369.69, $354.35
08/22/2019, $354.41, 8325094, $342.43, $356.44, $341.01
08/21/2019, $339.99, 3266453, $335.48, $342.58, $333.21
08/20/2019, $331.75, 2039413, $332.47, $333.5, $328.88
08/19/2019, $333.78, 2335628, $334.18, $335.91, $331.4
08/16/2019, $330.45, 3866567, $330.22, $331.16, $326.4801
08/15/2019, $328, 4721760, $323, $328.07, $319.55
08/14/2019, $320.42, 5110375, $328.35, $329.54, $320.41
08/13/2019, $332.86, 3722995, $331.82, $337.399, $330.5
08/12/2019, $332.94, 2683390, $333.68, $336.01, $331.37
08/09/2019, $337.55, 3102912, $334.06, $339.08, $333.165
08/08/2019, $336.35, 3672980, $331.3, $336.43, $328.86
08/07/2019, $331.38, 4187612, $328.6, $333.65, $324.57
08/06/2019, $332.45, 3653260, $333.99, $335.7, $329.14
08/05/2019, $331.06, 5876085, $332.46, $333.37, $326.955
08/02/2019, $339.56, 4675379, $334.56, $340.535, $332.32
08/01/2019, $334.29, 6465267, $341.91, $344.29, $333
07/31/2019, $341.18, 5219748, $348.49, $351.285, $341.05
07/30/2019, $347.46, 4527975, $339.84, $347.49, $336.56
07/29/2019, $340.21, 4116566, $344.99, $346.08, $339.11
07/26/2019, $345, 4441078, $346.2, $348.425, $342
07/25/2019, $348.09, 9663678, $356.18, $357.69, $345.71
07/24/2019, $361.43, 7447884, $370.28, $371.36, $360.03
07/23/2019, $373.07, 3354863, $374.27, $376.428, $370.68
07/22/2019, $373.42, 4267293, $376.94, $382.48, $371.89
07/19/2019, $377.36, 9503960, $370.67, $378.4, $368.5002
07/18/2019, $361.11, 4615218, $367.6, $368.4465, $359.75
07/17/2019, $369.52, 4009990, $362.75, $369.75, $362
07/16/2019, $362.75, 2960425, $361.26, $365.35, $361.2
07/15/2019, $361.61, 4814634, $360.5, $362.85, $359.02
07/12/2019, $365.33, 3592818, $360, $365.45, $358.14
07/11/2019, $359, 5059223, $352.62, $359.26, $350.7
07/10/2019, $352.3, 2946742, $354.49, $356.52, $351.25
07/09/2019, $353.09, 4828204, $349.05, $353.85, $347.9
07/08/2019, $351.12, 3262324, $350.41, $352.961, $349.4013
07/05/2019, $355.86, 3208164, $354, $357.25, $351.43
07/03/2019, $354.47, 2164921, $354.5, $354.85, $352.26
07/02/2019, $354.16, 3777328, $355.63, $356.7838, $352.69
07/01/2019, $356.46, 6409568, $364.88, $365.23, $353.32
06/28/2019, $364.01, 4737120, $363.92, $366.225, $361.57
06/27/2019, $364.02, 8980010, $367.54, $369.93, $362.35
06/26/2019, $374.94, 4542016, $371.02, $378.98, $370
06/25/2019, $369.32, 3005403, $374.75, $375.25, $368.03
06/24/2019, $373.99, 2323241, $372.95, $375.49, $372.1
